config_id,best_file,best_rtt,num_tasks,connection_probability,client_percentage,server_percentage,dnn1_per_server,dnn1_per_client,dnn1_initial_queue,dnn2_initial_queue
ds_0090,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0091,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0092,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0093,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0094,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0095,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0096,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0097,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0098,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0099,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0100,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0101,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0102,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0103,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0104,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0105,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0106,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0107,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0108,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0109,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0110,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0111,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0112,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0113,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0114,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0115,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0116,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0117,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0118,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0119,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0120,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0121,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0122,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0123,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0124,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0125,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0126,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
ds_0127,simulation_1_placement_1119fd551a4782de_9bec54f2.json,0.7657264116150495,245,0.05,0.6,0.9,1,2,0,0
