dataset_id,num_tasks,task_ids,optimal_rtt,placement_plan,task_types
ds_00027,5,"(0, 1, 2, 3, 4)",2.2035503217629486,"{'0': [14, 68], '1': [17, 83], '2': [16, 79], '3': [13, 65], '4': [4, 22]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00779,5,"(0, 1, 2, 3, 4)",2.1238920075247183,"{'0': [15, 78], '1': [11, 53], '2': [12, 63], '3': [17, 83], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_01114,5,"(0, 1, 2, 3, 4)",5.440104132056041,"{'0': [2, 14], '1': [0, 2], '2': [4, 22], '3': [10, 51], '4': [11, 55]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00383,5,"(0, 1, 2, 3, 4)",3.42242370492521,"{'0': [14, 68], '1': [13, 65], '2': [1, 5], '3': [16, 80], '4': [14, 69]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00837,5,"(0, 1, 2, 3, 4)",2.768151354853562,"{'0': [13, 64], '1': [11, 54], '2': [12, 63], '3': [11, 59], '4': [14, 75]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00829,5,"(0, 1, 2, 3, 4)",1.5194590634707108,"{'0': [13, 64], '1': [16, 80], '2': [14, 70], '3': [13, 65], '4': [13, 67]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00088,5,"(0, 1, 2, 3, 4)",0.8960021488634525,"{'0': [11, 53], '1': [1, 4], '2': [13, 64], '3': [11, 55], '4': [11, 59]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00610,5,"(0, 1, 2, 3, 4)",1.5507787544238987,"{'0': [17, 87], '1': [17, 88], '2': [11, 57], '3': [14, 73], '4': [17, 86]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00095,5,"(0, 1, 2, 3, 4)",5.1472433179452635,"{'0': [0, 0], '1': [17, 83], '2': [4, 21], '3': [1, 7], '4': [13, 66]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00800,5,"(0, 1, 2, 3, 4)",2.397067466389792,"{'0': [14, 73], '1': [17, 86], '2': [14, 72], '3': [1, 7], '4': [17, 88]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01012,5,"(0, 1, 2, 3, 4)",3.140843105701276,"{'0': [12, 63], '1': [11, 54], '2': [17, 84], '3': [4, 21], '4': [14, 69]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00921,5,"(0, 1, 2, 3, 4)",1.6984949686492734,"{'0': [11, 56], '1': [4, 23], '2': [16, 82], '3': [1, 9], '4': [17, 85]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01009,5,"(0, 1, 2, 3, 4)",2.0066127113506353,"{'0': [18, 93], '1': [3, 16], '2': [14, 68], '3': [2, 14], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_01066,5,"(0, 1, 2, 3, 4)",0.6037187326914468,"{'0': [1, 4], '1': [5, 29], '2': [10, 49], '3': [14, 70], '4': [17, 85]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00003,5,"(0, 1, 2, 3, 4)",5.301208373558105,"{'0': [14, 68], '1': [16, 82], '2': [1, 7], '3': [4, 24], '4': [13, 67]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00203,5,"(0, 1, 2, 3, 4)",4.821752574286139,"{'0': [10, 50], '1': [13, 67], '2': [1, 8], '3': [4, 22], '4': [14, 73]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00782,5,"(0, 1, 2, 3, 4)",1.3953629026765668,"{'0': [15, 78], '1': [11, 58], '2': [14, 72], '3': [4, 23], '4': [14, 73]}","{0: 'dnn1', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_01051,5,"(0, 1, 2, 3, 4)",1.9325107232852141,"{'0': [11, 55], '1': [4, 21], '2': [17, 85], '3': [11, 56], '4': [17, 86]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00021,5,"(0, 1, 2, 3, 4)",2.347076516023453,"{'0': [11, 58], '1': [4, 21], '2': [17, 86], '3': [1, 7], '4': [17, 88]}","{0: 'dnn2', 1: 'dnn2', 2: 'dnn2', 3: 'dnn2', 4: 'dnn2'}"
ds_00977,5,"(0, 1, 2, 3, 4)",1.0046652517222279,"{'0': [14, 70], '1': [11, 55], '2': [12, 63], '3': [14, 71], '4': [4, 22]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_01026,5,"(0, 1, 2, 3, 4)",0.9515104206250043,"{'0': [1, 4], '1': [13, 66], '2': [10, 50], '3': [14, 71], '4': [11, 58]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn2', 4: 'dnn2'}"
ds_00758,5,"(0, 1, 2, 3, 4)",1.7883473739044686,"{'0': [0, 1], '1': [1, 5], '2': [17, 83], '3': [2, 14], '4': [17, 84]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
ds_00548,5,"(0, 1, 2, 3, 4)",0.7513672711528359,"{'0': [0, 0], '1': [1, 4], '2': [6, 30], '3': [16, 79], '4': [14, 74]}","{0: 'dnn1', 1: 'dnn1', 2: 'dnn1', 3: 'dnn1', 4: 'dnn2'}"
